label,data
2700,2944
2700,3016
2700,2987
2700,3031
2700,2958
2700,2930
2700,3077
2700,2930
2700,2972
2700,2972
2700,2987
2700,3140
2700,2972
2700,3031
2700,3016
2700,2958
2700,2972
2700,3002
2700,2972
2700,2987
2700,2972
2700,3016
2700,3046
2700,2987
2700,3046
2700,3046
2700,2972
2700,2987
2700,3016
2700,2944
2700,3002
2700,2972
2700,3140
2700,2987
2700,2987
2700,3062
2700,3002
2700,3046
2700,3046
2700,3031
2700,3031
2700,3077
2700,2958
2700,3016
2700,3062
2700,3016
2700,2944
2700,3016
2700,2972
2700,3077
2700,2972
2700,2987
2700,3016
2700,2972
2700,3002
2700,3062
2700,3092
2700,3031
2700,2987
2700,3016
2700,2972
2700,2930
2700,2944
2700,3046
2700,2930
2700,2916
2700,2987
2700,2958
2700,3002
2700,3002
2700,3062
2700,3002
2700,2972
2700,2972
2700,2930
2700,3016
2700,2987
2700,2987
2700,2916
2700,2944
2700,2972
2700,2972
2700,2972
2700,2944
2700,2972
2700,2972
2700,2944
2700,2972
2700,2958
2700,2958
2700,2987
2700,2958
2700,2916
2700,2944
2700,2916
2700,2930
2700,2972
2700,3002
2700,2916
2700,2916
2700,2930
2700,2944
2700,2930
2700,2972
2700,2888
2700,2916
2700,2972
2700,2902
2700,2902
2700,2902
2700,2944
2700,2930
2700,2958
2700,2902
2700,2916
2700,2916
2700,2972
2700,2930
2700,2916
2700,2958
2700,2902
2700,2958
2700,2930
2700,2958
2700,2944
2700,2944
2700,2916
2700,2916
2700,2944
2700,2902
2700,2930
2700,2888
2700,2916
2700,2902
2700,2916
2700,2972
2700,2930
2700,2930
2700,2930
2700,2902
2700,2930
2700,2916
2700,2888
2700,2987
2700,3002
2700,2958
2700,2930
2700,2902
2700,2902
2700,2902
2700,2902
2700,2888
2700,2916
2700,2902
2700,2930
2700,2972
2700,2944
2700,2916
2700,2930
2700,2944
2700,2930
2700,2875
2700,2902
2700,2958
2700,2958
2700,2916
2700,2944
2700,2916
2700,2930
2700,2902
2700,2930
2700,2972
2700,2902
2700,2916
2700,2902
2700,2944
2700,2972
2700,2902
2700,2902
2700,2944
2700,2888
2700,2958
2700,2902
2700,2930
2700,2916
2700,2930
2700,2916
2700,2888
2700,2930
2700,2930
2700,2902
2700,2902
2700,2916
2700,2916
2700,2902
2700,2944
2700,2944
2700,2944
2700,2944
2700,2916
2700,2958
2700,2958
2700,2916
2700,2944
2700,2958
2700,2944
2700,2944
2700,2902
2700,2972
2700,2916
2700,2916
2700,2944
2700,2944
2700,2888
2700,2916
2700,2888
2700,2972
2700,3002
2700,2930
2700,2930
2700,2930
2700,2930
2700,2916
2700,2930
2700,3002
2700,2930
2700,2902
2700,2972
2700,2875
2700,2916
2700,2888
2700,2930
2700,2902
2700,2888
2700,2916
2700,2944
2700,2972
2700,2958
2700,2930
2700,2916
2700,2944
2700,2888
2700,2902
2700,2916
2700,2902
2700,2902
2700,2930
2700,2875
2700,2930
2700,2888
2700,2972
2700,2944
2700,2888
2700,2902
2700,2930
2700,2902
2700,3016
2700,2916
2700,2958
2700,2930
2700,2916
2700,2944
2700,2958
2700,2902
2700,2888
2700,2944
2700,2972
2700,2944
2700,2930
2700,2902
2700,2930
2700,2930
2700,2958
2700,2944
2700,2987
2700,2944
2700,2987
2700,2916
2700,2972
2700,2944
2700,2987
2700,3002
2700,2916
2700,2958
2700,3002
2700,2930
2700,2930
2700,2987
2700,2930
2700,2930
2700,2916
2700,2916
2700,2972
2700,2972
2700,2987
2700,2916
2700,2930
2700,2944
2700,3031
2700,2944
2700,2972
2700,2972
2700,2958
2700,2972
2700,2972
2700,2916
2700,2944
2700,2958
2700,3031
2700,3002
2700,2972
2700,2944
2700,3002
2700,2944
2700,2930
2700,2972
2700,2944
2700,2958
2700,2987
2700,2930
2700,2916
2700,2944
2700,2930
2700,2972
2700,2916
2700,2944
2700,2958
2700,2972
2700,2972
2700,2930
2700,2972
2700,2888
2700,2902
2700,2930
2700,2944
2700,2902
2700,2944
2700,3002
2700,2916
2700,2944
2700,2944
2700,2944
2700,2944
2700,2916
2700,2987
2700,3031
2700,2930
2700,2958
2700,2944
2700,2916
2700,2987
2700,3002
2700,2972
2700,2987
2700,2944
2700,2930
2700,2944
2700,2987
2700,2930
2700,3002
2700,2930
2700,3002
2700,2930
2700,2930
2700,2944
2700,2930
2700,2930
2700,3002
2700,3016
2700,3062
2700,2930
2700,3124
2700,2958
2700,2944
2700,2930
2700,2972
2700,2944
2700,2944
2700,3016
2700,2916
2700,2930
2700,2930
2700,2958
2700,2944
2700,3016
2700,3002
2700,2972
2700,2987
2700,3016
2700,2958
2700,2987
2700,2944
2700,2972
2700,2987
2700,2958
2700,3002
2700,2972
2700,3002
2700,3016
2700,2958
2700,2987
2700,2972
2700,3031
2700,2944
2700,2958
2700,2930
2700,3002
2700,3002
2700,2958
2700,3002
2700,2987
